snapshot_date,sample_count,actual_default_rate,predicted_default_rate,accuracy,precision,recall,f1,roc_auc,pr_auc
2023-01-01,435,0.2413793103448276,0.33793103448275863,0.7793103448275862,0.5306122448979592,0.7428571428571429,0.6190476190476191,0.8711399711399712,0.7086422859372018
2023-02-01,410,0.3073170731707317,0.3878048780487805,0.7780487804878049,0.610062893081761,0.7698412698412699,0.6807017543859649,0.8477531857813548,0.7267848419834739
2023-03-01,401,0.3192019950124688,0.42144638403990026,0.7630922693266833,0.5976331360946746,0.7890625,0.6801346801346801,0.8589457417582417,0.7678912547939708
2023-04-01,408,0.25,0.3602941176470588,0.7769607843137255,0.5374149659863946,0.7745098039215687,0.6345381526104418,0.8583877995642702,0.6874520093384238
2023-05-01,430,0.25813953488372093,0.3372093023255814,0.8372093023255814,0.6413793103448275,0.8378378378378378,0.7265624999999999,0.9146262249710526,0.7790745187410155
2023-06-01,429,0.2634032634032634,0.32167832167832167,0.8438228438228438,0.6666666666666666,0.8141592920353983,0.7330677290836654,0.9143049176655093,0.8169852450016204
2023-07-01,419,0.30787589498806683,0.38424821002386633,0.8329355608591885,0.6832298136645962,0.8527131782945736,0.7586206896551724,0.9089548249131248,0.8251157488776711
2023-08-01,400,0.2725,0.3425,0.84,0.6642335766423357,0.8348623853211009,0.7398373983739838,0.9116933068507835,0.8055616467957244
2023-09-01,366,0.24316939890710382,0.3524590163934426,0.8306010928961749,0.6046511627906976,0.8764044943820225,0.7155963302752294,0.898389648318663,0.7318374657718252
2023-10-01,398,0.2562814070351759,0.34673366834170855,0.7889447236180904,0.5652173913043478,0.7647058823529411,0.65,0.8605922098569158,0.6989948739765609
2023-11-01,404,0.2871287128712871,0.33910891089108913,0.7945544554455446,0.6204379562043796,0.7327586206896551,0.6719367588932805,0.869073275862069,0.7046865074561912
2023-12-01,403,0.315136476426799,0.36476426799007444,0.7766749379652605,0.6258503401360545,0.7244094488188977,0.6715328467153285,0.8307942485450188,0.7427610978478808
2024-01-01,389,0.2699228791773779,0.30077120822622105,0.8303341902313625,0.6666666666666666,0.7428571428571429,0.7027027027027027,0.8978537894030851,0.8062773899396762
2024-02-01,424,0.2783018867924528,0.39858490566037735,0.7806603773584906,0.5739644970414202,0.8220338983050848,0.6759581881533101,0.8679240057604963,0.770944387590051
2024-03-01,423,0.3262411347517731,0.42080378250591016,0.7919621749408984,0.6404494382022472,0.8260869565217391,0.7215189873417721,0.8740655987795576,0.784160279467071
2024-04-01,408,0.27941176470588236,0.3333333333333333,0.7843137254901961,0.5955882352941176,0.7105263157894737,0.648,0.8546962644707006,0.6935882509651975
2024-05-01,401,0.286783042394015,0.33915211970074816,0.7830423940149626,0.6029411764705882,0.7130434782608696,0.6533864541832669,0.8312557008209183,0.6650599435439942
2024-06-01,400,0.3025,0.3575,0.805,0.6503496503496503,0.768595041322314,0.7045454545454546,0.888651915044877,0.7922850114225679
2024-07-01,402,0.29850746268656714,0.3482587064676617,0.6965174129353234,0.4928571428571429,0.575,0.5307692307692308,0.722872340425532,0.4980731218225859
2024-08-01,455,0.2989010989010989,0.4021978021978022,0.7120879120879121,0.5136612021857924,0.6911764705882353,0.5893416927899687,0.7254748294302047,0.49161613170824214
2024-09-01,407,0.32432432432432434,0.371007371007371,0.7076167076167076,0.543046357615894,0.6212121212121212,0.5795053003533569,0.7337190082644628,0.5364803572153228
2024-10-01,385,0.22077922077922077,0.32727272727272727,0.7688311688311689,0.48412698412698413,0.7176470588235294,0.5781990521327014,0.7952941176470588,0.5115554827753998
2024-11-01,404,0.26732673267326734,0.39603960396039606,0.7326732673267327,0.5,0.7407407407407407,0.5970149253731343,0.781813063063063,0.5073665591497308
2024-12-01,419,0.2649164677804296,0.31026252983293556,0.7494033412887828,0.5230769230769231,0.6126126126126126,0.5643153526970954,0.7800982800982802,0.6091287079918879
2025-01-01,433,0.26096997690531176,0.3625866050808314,0.7090069284064665,0.4585987261146497,0.6371681415929203,0.5333333333333333,0.7317754424778762,0.5004219790818515
